field,VARI -Vg,NDVI-Vg,NDRE-Vg,NDMI-Vg,MSAVI-Vg,RECI-Vg,yield
A1,0.036302,0.607259,0.447051,0.266575,0.481455,5.072085,42
A10,0.064862,0.755261,0.489844,0.291875,0.535035,6.464949,50
A11,0.057472,0.700165,0.457521,0.246901,0.498192,4.834455,49
A12,0.00565,0.55826,0.33184,0.235971,0.487559,2.646106,49.5
A13,0.001334,0.647734,0.386705,0.207294,0.395904,3.786118,42.5
A14,0.029004,0.701122,0.444087,0.260334,0.462143,4.837321,43
A15,0.0353,0.726217,0.4729,0.293507,0.472595,5.372806,42.75
A16,0.021719,0.510494,0.470812,0.263276,0.408573,2.272321,46.5
A17,0.009932,0.609954,0.439148,0.241017,0.4199215,3.324147,46
A18,0.039142,0.688179,0.432002,0.24857,0.444696,4.507324,46.25
A19,0.04901,0.640541,0.4803572,0.316944,0.436016,3.624426,53
A2,0.017171,0.637651,0.417972,0.24588,0.45144,3.565171,42.25
A20,0.02622,0.70117,0.451258,0.251868,0.48587,4.785847,52
A21,0.050932,0.738655,0.474785,0.280886,0.523029,5.746496,52.5
A22,0.027581,0.714141,0.448628,0.265224,0.5296347,5.157654,52.75
A3,0.022608,0.39681,0.343487,0.165355,0.357202,4.727821,38
A4,0.012315,0.650205,0.426888,0.235354,0.446749,4.085893,42.5
A5,0.020533,0.567971,0.333486,0.159408,0.393742,2.677149,42.75
A6,0.025982,0.526951,0.316688,0.137681,0.368344,2.247715,44
A7,0.013895,0.506104,0.300287,0.119397,0.3537,2.094345,40
A8,0.019381,0.489245,0.419445,0.242746,0.340987,4.531925,40
A9,0.010258,0.477918,0.436887,0.245968,0.438644,4.46185,43
